"far_id","attr_value_id"
1,1
1,4
1,7
2,2
2,4
2,7
3,3
3,4
3,7
4,1
4,5
4,7
5,2
5,5
5,7
6,3
6,5
6,7
7,1
7,6
7,7
8,2
8,6
8,7
9,3
9,6
9,7
10,1
10,4
10,8
11,2
11,4
11,8
12,3
12,4
12,8
13,1
13,5
13,8
14,2
14,5
14,8
15,3
15,5
15,8
16,1
16,6
16,8
17,2
17,6
17,8
18,3
18,6
18,8
19,1
19,4
19,9
20,2
20,4
20,9
21,3
21,4
21,9
22,1
22,5
22,9
23,2
23,5
23,9
24,3
24,5
24,9
25,1
25,6
25,9
26,2
26,6
26,9
27,3
27,6
27,9
28,1
28,4
28,10
29,2
29,4
29,10
30,3
30,4
30,10
31,1
31,5
31,10
32,2
32,5
32,10
33,3
33,5
33,10
34,1
34,6
34,10
35,2
35,6
35,10
36,3
36,6
36,10
37,1
37,4
37,11
38,2
38,4
38,11
39,3
39,4
39,11
40,1
40,5
40,11
41,2
41,5
41,11
42,3
42,5
42,11
43,1
43,6
43,11
44,2
44,6
44,11
45,3
45,6
45,11
46,1
46,4
46,12
47,2
47,4
47,12
48,3
48,4
48,12
49,1
49,5
49,12
50,2
50,5
50,12
51,3
51,5
51,12
52,1
52,6
52,12
53,2
53,6
53,12
54,3
54,6
54,12
55,1
55,4
55,13
56,2
56,4
56,13
57,3
57,4
57,13
58,1
58,5
58,13
59,2
59,5
59,13
60,3
60,5
60,13
61,1
61,6
61,13
62,2
62,6
62,13
63,3
63,6
63,13
64,1
64,4
64,14
65,2
65,4
65,14
66,3
66,4
66,14
67,1
67,5
67,14
68,2
68,5
68,14
69,3
69,5
69,14
70,1
70,6
70,14
71,2
71,6
71,14
72,3
72,6
72,14
73,1
73,4
73,15
74,2
74,4
74,15
75,3
75,4
75,15
76,1
76,5
76,15
77,2
77,5
77,15
78,3
78,5
78,15
79,1
79,6
79,15
80,2
80,6
80,15
81,3
81,6
81,15
82,1
82,4
82,16
83,2
83,4
83,16
84,3
84,4
84,16
85,1
85,5
85,16
86,2
86,5
86,16
87,3
87,5
87,16
88,1
88,6
88,16
89,2
89,6
89,16
90,3
90,6
90,16
91,1
91,4
91,17
92,2
92,4
92,17
93,3
93,4
93,17
94,1
94,5
94,17
95,2
95,5
95,17
96,3
96,5
96,17
97,1
97,6
97,17
98,2
98,6
98,17
99,3
99,6
99,17
100,1
100,4
100,18
101,2
101,4
101,18
102,3
102,4
102,18
103,1
103,5
103,18
104,2
104,5
104,18
105,3
105,5
105,18
106,1
106,6
106,18
107,2
107,6
107,18
108,3
108,6
108,18
109,1
109,4
109,19
110,2
110,4
110,19
111,3
111,4
111,19
112,1
112,5
112,19
113,2
113,5
113,19
114,3
114,5
114,19
115,1
115,6
115,19
116,2
116,6
116,19
117,3
117,6
117,19
118,1
118,4
118,20
119,2
119,4
119,20
120,3
120,4
120,20
121,1
121,5
121,20
122,2
122,5
122,20
123,3
123,5
123,20
124,1
124,6
124,20
125,2
125,6
125,20
126,3
126,6
126,20
127,1
127,4
127,21
128,2
128,4
128,21
129,3
129,4
129,21
130,1
130,5
130,21
131,2
131,5
131,21
132,3
132,5
132,21
133,1
133,6
133,21
134,2
134,6
134,21
135,3
135,6
135,21
136,1
136,4
136,22
137,2
137,4
137,22
138,3
138,4
138,22
139,1
139,5
139,22
140,2
140,5
140,22
141,3
141,5
141,22
142,1
142,6
142,22
143,2
143,6
143,22
144,3
144,6
144,22
145,1
145,4
145,23
146,2
146,4
146,23
147,3
147,4
147,23
148,1
148,5
148,23
149,2
149,5
149,23
150,3
150,5
150,23
151,1
151,6
151,23
152,2
152,6
152,23
153,3
153,6
153,23
154,1
154,4
154,24
155,2
155,4
155,24
156,3
156,4
156,24
157,1
157,5
157,24
158,2
158,5
158,24
159,3
159,5
159,24
160,1
160,6
160,24
161,2
161,6
161,24
162,3
162,6
162,24
163,1
163,4
163,25
164,2
164,4
164,25
165,3
165,4
165,25
166,1
166,5
166,25
167,2
167,5
167,25
168,3
168,5
168,25
169,1
169,6
169,25
170,2
170,6
170,25
171,3
171,6
171,25
172,1
172,4
172,26
173,2
173,4
173,26
174,3
174,4
174,26
175,1
175,5
175,26
176,2
176,5
176,26
177,3
177,5
177,26
178,1
178,6
178,26
179,2
179,6
179,26
180,3
180,6
180,26
181,1
181,4
181,27
182,2
182,4
182,27
183,3
183,4
183,27
184,1
184,5
184,27
185,2
185,5
185,27
186,3
186,5
186,27
187,1
187,6
187,27
188,2
188,6
188,27
189,3
189,6
189,27
190,1
190,4
190,28
191,2
191,4
191,28
192,3
192,4
192,28
193,1
193,5
193,28
194,2
194,5
194,28
195,3
195,5
195,28
196,1
196,6
196,28
197,2
197,6
197,28
198,3
198,6
198,28
199,1
199,4
199,29
200,2
200,4
200,29
201,3
201,4
201,29
202,1
202,5
202,29
203,2
203,5
203,29
204,3
204,5
204,29
205,1
205,6
205,29
206,2
206,6
206,29
207,3
207,6
207,29
208,1
208,4
208,30
209,2
209,4
209,30
210,3
210,4
210,30
211,1
211,5
211,30
212,2
212,5
212,30
213,3
213,5
213,30
214,1
214,6
214,30
215,2
215,6
215,30
216,3
216,6
216,30
217,1
217,4
217,31
218,2
218,4
218,31
219,3
219,4
219,31
220,1
220,5
220,31
221,2
221,5
221,31
222,3
222,5
222,31
223,1
223,6
223,31
224,2
224,6
224,31
225,3
225,6
225,31
226,1
226,4
226,32
227,2
227,4
227,32
228,3
228,4
228,32
229,1
229,5
229,32
230,2
230,5
230,32
231,3
231,5
231,32
232,1
232,6
232,32
233,2
233,6
233,32
234,3
234,6
234,32
235,1
235,4
235,33
236,2
236,4
236,33
237,3
237,4
237,33
238,1
238,5
238,33
239,2
239,5
239,33
240,3
240,5
240,33
241,1
241,6
241,33
242,2
242,6
242,33
243,3
243,6
243,33
244,1
244,4
244,34
245,2
245,4
245,34
246,3
246,4
246,34
247,1
247,5
247,34
248,2
248,5
248,34
249,3
249,5
249,34
250,1
250,6
250,34
251,2
251,6
251,34
252,3
252,6
252,34
253,1
253,4
253,35
254,2
254,4
254,35
255,3
255,4
255,35
256,1
256,5
256,35
257,2
257,5
257,35
258,3
258,5
258,35
259,1
259,6
259,35
260,2
260,6
260,35
261,3
261,6
261,35
262,1
262,4
262,36
263,2
263,4
263,36
264,3
264,4
264,36
265,1
265,5
265,36
266,2
266,5
266,36
267,3
267,5
267,36
268,1
268,6
268,36
269,2
269,6
269,36
270,3
270,6
270,36
271,1
271,4
271,37
272,2
272,4
272,37
273,3
273,4
273,37
274,1
274,5
274,37
275,2
275,5
275,37
276,3
276,5
276,37
277,1
277,6
277,37
278,2
278,6
278,37
279,3
279,6
279,37
280,1
280,4
280,38
281,2
281,4
281,38
282,3
282,4
282,38
283,1
283,5
283,38
284,2
284,5
284,38
285,3
285,5
285,38
286,1
286,6
286,38
287,2
287,6
287,38
288,3
288,6
288,38
289,1
289,4
289,39
290,2
290,4
290,39
291,3
291,4
291,39
292,1
292,5
292,39
293,2
293,5
293,39
294,3
294,5
294,39
295,1
295,6
295,39
296,2
296,6
296,39
297,3
297,6
297,39
298,1
298,4
298,40
299,2
299,4
299,40
300,3
300,4
300,40
301,1
301,5
301,40
302,2
302,5
302,40
303,3
303,5
303,40
304,1
304,6
304,40
305,2
305,6
305,40
306,3
306,6
306,40
307,1
307,4
307,41
308,2
308,4
308,41
309,3
309,4
309,41
310,1
310,5
310,41
311,2
311,5
311,41
312,3
312,5
312,41
313,1
313,6
313,41
314,2
314,6
314,41
315,3
315,6
315,41
316,1
316,4
316,42
317,2
317,4
317,42
318,3
318,4
318,42
319,1
319,5
319,42
320,2
320,5
320,42
321,3
321,5
321,42
322,1
322,6
322,42
323,2
323,6
323,42
324,3
324,6
324,42
325,1
325,4
325,43
326,2
326,4
326,43
327,3
327,4
327,43
328,1
328,5
328,43
329,2
329,5
329,43
330,3
330,5
330,43
331,1
331,6
331,43
332,2
332,6
332,43
333,3
333,6
333,43
334,1
334,4
334,44
335,2
335,4
335,44
336,3
336,4
336,44
337,1
337,5
337,44
338,2
338,5
338,44
339,3
339,5
339,44
340,1
340,6
340,44
341,2
341,6
341,44
342,3
342,6
342,44
343,1
343,4
343,45
344,2
344,4
344,45
345,3
345,4
345,45
346,1
346,5
346,45
347,2
347,5
347,45
348,3
348,5
348,45
349,1
349,6
349,45
350,2
350,6
350,45
351,3
351,6
351,45
352,1
352,4
352,46
353,2
353,4
353,46
354,3
354,4
354,46
355,1
355,5
355,46
356,2
356,5
356,46
357,3
357,5
357,46
358,1
358,6
358,46
359,2
359,6
359,46
360,3
360,6
360,46
361,1
361,4
361,47
362,2
362,4
362,47
363,3
363,4
363,47
364,1
364,5
364,47
365,2
365,5
365,47
366,3
366,5
366,47
367,1
367,6
367,47
368,2
368,6
368,47
369,3
369,6
369,47
370,1
370,4
370,48
371,2
371,4
371,48
372,3
372,4
372,48
373,1
373,5
373,48
374,2
374,5
374,48
375,3
375,5
375,48
376,1
376,6
376,48
377,2
377,6
377,48
378,3
378,6
378,48
379,1
379,4
379,49
380,2
380,4
380,49
381,3
381,4
381,49
382,1
382,5
382,49
383,2
383,5
383,49
384,3
384,5
384,49
385,1
385,6
385,49
386,2
386,6
386,49
387,3
387,6
387,49
388,1
388,4
388,50
389,2
389,4
389,50
390,3
390,4
390,50
391,1
391,5
391,50
392,2
392,5
392,50
393,3
393,5
393,50
394,1
394,6
394,50
395,2
395,6
395,50
396,3
396,6
396,50
397,1
397,4
397,51
398,2
398,4
398,51
399,3
399,4
399,51
400,1
400,5
400,51
401,2
401,5
401,51
402,3
402,5
402,51
403,1
403,6
403,51
404,2
404,6
404,51
405,3
405,6
405,51
406,1
406,4
406,52
407,2
407,4
407,52
408,3
408,4
408,52
409,1
409,5
409,52
410,2
410,5
410,52
411,3
411,5
411,52
412,1
412,6
412,52
413,2
413,6
413,52
414,3
414,6
414,52
415,1
415,4
415,53
416,2
416,4
416,53
417,3
417,4
417,53
418,1
418,5
418,53
419,2
419,5
419,53
420,3
420,5
420,53
421,1
421,6
421,53
422,2
422,6
422,53
423,3
423,6
423,53
424,1
424,4
424,54
425,2
425,4
425,54
426,3
426,4
426,54
427,1
427,5
427,54
428,2
428,5
428,54
429,3
429,5
429,54
430,1
430,6
430,54
431,2
431,6
431,54
432,3
432,6
432,54
433,1
433,4
433,55
434,2
434,4
434,55
435,3
435,4
435,55
436,1
436,5
436,55
437,2
437,5
437,55
438,3
438,5
438,55
439,1
439,6
439,55
440,2
440,6
440,55
441,3
441,6
441,55
442,1
442,4
442,56
443,2
443,4
443,56
444,3
444,4
444,56
445,1
445,5
445,56
446,2
446,5
446,56
447,3
447,5
447,56
448,1
448,6
448,56
449,2
449,6
449,56
450,3
450,6
450,56
451,1
451,4
451,57
452,2
452,4
452,57
453,3
453,4
453,57
454,1
454,5
454,57
455,2
455,5
455,57
456,3
456,5
456,57
457,1
457,6
457,57
458,2
458,6
458,57
459,3
459,6
459,57
460,1
460,4
460,58
461,2
461,4
461,58
462,3
462,4
462,58
463,1
463,5
463,58
464,2
464,5
464,58
465,3
465,5
465,58
466,1
466,6
466,58
467,2
467,6
467,58
468,3
468,6
468,58
469,1
469,4
469,59
470,2
470,4
470,59
471,3
471,4
471,59
472,1
472,5
472,59
473,2
473,5
473,59
474,3
474,5
474,59
475,1
475,6
475,59
476,2
476,6
476,59
477,3
477,6
477,59
478,1
478,4
478,60
479,2
479,4
479,60
480,3
480,4
480,60
481,1
481,5
481,60
482,2
482,5
482,60
483,3
483,5
483,60
484,1
484,6
484,60
485,2
485,6
485,60
486,3
486,6
486,60
487,1
487,4
487,61
488,2
488,4
488,61
489,3
489,4
489,61
490,1
490,5
490,61
491,2
491,5
491,61
492,3
492,5
492,61
493,1
493,6
493,61
494,2
494,6
494,61
495,3
495,6
495,61
496,1
496,4
496,62
497,2
497,4
497,62
498,3
498,4
498,62
499,1
499,5
499,62
500,2
500,5
500,62
501,3
501,5
501,62
502,1
502,6
502,62
503,2
503,6
503,62
504,3
504,6
504,62
505,1
505,4
505,63
506,2
506,4
506,63
507,3
507,4
507,63
508,1
508,5
508,63
509,2
509,5
509,63
510,3
510,5
510,63
511,1
511,6
511,63
512,2
512,6
512,63
513,3
513,6
513,63
514,1
514,4
514,64
515,2
515,4
515,64
516,3
516,4
516,64
517,1
517,5
517,64
518,2
518,5
518,64
519,3
519,5
519,64
520,1
520,6
520,64
521,2
521,6
521,64
522,3
522,6
522,64
523,1
523,4
523,65
524,2
524,4
524,65
525,3
525,4
525,65
526,1
526,5
526,65
527,2
527,5
527,65
528,3
528,5
528,65
529,1
529,6
529,65
530,2
530,6
530,65
531,3
531,6
531,65
532,1
532,4
532,66
533,2
533,4
533,66
534,3
534,4
534,66
535,1
535,5
535,66
536,2
536,5
536,66
537,3
537,5
537,66
538,1
538,6
538,66
539,2
539,6
539,66
540,3
540,6
540,66
541,1
541,4
541,67
542,2
542,4
542,67
543,3
543,4
543,67
544,1
544,5
544,67
545,2
545,5
545,67
546,3
546,5
546,67
547,1
547,6
547,67
548,2
548,6
548,67
549,3
549,6
549,67
550,1
550,4
550,68
551,2
551,4
551,68
552,3
552,4
552,68
553,1
553,5
553,68
554,2
554,5
554,68
555,3
555,5
555,68
556,1
556,6
556,68
557,2
557,6
557,68
558,3
558,6
558,68
559,1
559,4
559,69
560,2
560,4
560,69
561,3
561,4
561,69
562,1
562,5
562,69
563,2
563,5
563,69
564,3
564,5
564,69
565,1
565,6
565,69
566,2
566,6
566,69
567,3
567,6
567,69
568,1
568,4
568,70
569,2
569,4
569,70
570,3
570,4
570,70
571,1
571,5
571,70
572,2
572,5
572,70
573,3
573,5
573,70
574,1
574,6
574,70
575,2
575,6
575,70
576,3
576,6
576,70
577,1
577,4
577,71
578,2
578,4
578,71
579,3
579,4
579,71
580,1
580,5
580,71
581,2
581,5
581,71
582,3
582,5
582,71
583,1
583,6
583,71
584,2
584,6
584,71
585,3
585,6
585,71
586,1
586,4
586,72
587,2
587,4
587,72
588,3
588,4
588,72
589,1
589,5
589,72
590,2
590,5
590,72
591,3
591,5
591,72
592,1
592,6
592,72
593,2
593,6
593,72
594,3
594,6
594,72
595,1
595,4
595,73
596,2
596,4
596,73
597,3
597,4
597,73
598,1
598,5
598,73
599,2
599,5
599,73
600,3
600,5
600,73
601,1
601,6
601,73
602,2
602,6
602,73
603,3
603,6
603,73
604,1
604,4
604,74
605,2
605,4
605,74
606,3
606,4
606,74
607,1
607,5
607,74
608,2
608,5
608,74
609,3
609,5
609,74
610,1
610,6
610,74
611,2
611,6
611,74
612,3
612,6
612,74
613,1
613,4
613,75
614,2
614,4
614,75
615,3
615,4
615,75
616,1
616,5
616,75
617,2
617,5
617,75
618,3
618,5
618,75
619,1
619,6
619,75
620,2
620,6
620,75
621,3
621,6
621,75
622,1
622,4
622,76
623,2
623,4
623,76
624,3
624,4
624,76
625,1
625,5
625,76
626,2
626,5
626,76
627,3
627,5
627,76
628,1
628,6
628,76
629,2
629,6
629,76
630,3
630,6
630,76
631,1
631,4
631,77
632,2
632,4
632,77
633,3
633,4
633,77
634,1
634,5
634,77
635,2
635,5
635,77
636,3
636,5
636,77
637,1
637,6
637,77
638,2
638,6
638,77
639,3
639,6
639,77
640,1
640,4
640,78
641,2
641,4
641,78
642,3
642,4
642,78
643,1
643,5
643,78
644,2
644,5
644,78
645,3
645,5
645,78
646,1
646,6
646,78
647,2
647,6
647,78
648,3
648,6
648,78
649,1
649,4
649,79
650,2
650,4
650,79
651,3
651,4
651,79
652,1
652,5
652,79
653,2
653,5
653,79
654,3
654,5
654,79
655,1
655,6
655,79
656,2
656,6
656,79
657,3
657,6
657,79
658,1
658,4
658,80
659,2
659,4
659,80
660,3
660,4
660,80
661,1
661,5
661,80
662,2
662,5
662,80
663,3
663,5
663,80
664,1
664,6
664,80
665,2
665,6
665,80
666,3
666,6
666,80
667,1
667,4
667,81
668,2
668,4
668,81
669,3
669,4
669,81
670,1
670,5
670,81
671,2
671,5
671,81
672,3
672,5
672,81
673,1
673,6
673,81
674,2
674,6
674,81
675,3
675,6
675,81
676,1
676,4
676,82
677,2
677,4
677,82
678,3
678,4
678,82
679,1
679,5
679,82
680,2
680,5
680,82
681,3
681,5
681,82
682,1
682,6
682,82
683,2
683,6
683,82
684,3
684,6
684,82
685,1
685,4
685,83
686,2
686,4
686,83
687,3
687,4
687,83
688,1
688,5
688,83
689,2
689,5
689,83
690,3
690,5
690,83
691,1
691,6
691,83
692,2
692,6
692,83
693,3
693,6
693,83
694,1
694,4
694,84
695,2
695,4
695,84
696,3
696,4
696,84
697,1
697,5
697,84
698,2
698,5
698,84
699,3
699,5
699,84
700,1
700,6
700,84
701,2
701,6
701,84
702,3
702,6
702,84
703,1
703,4
703,85
704,2
704,4
704,85
705,3
705,4
705,85
706,1
706,5
706,85
707,2
707,5
707,85
708,3
708,5
708,85
709,1
709,6
709,85
710,2
710,6
710,85
711,3
711,6
711,85
712,1
712,4
712,86
713,2
713,4
713,86
714,3
714,4
714,86
715,1
715,5
715,86
716,2
716,5
716,86
717,3
717,5
717,86
718,1
718,6
718,86
719,2
719,6
719,86
720,3
720,6
720,86
721,1
721,4
721,87
722,2
722,4
722,87
723,3
723,4
723,87
724,1
724,5
724,87
725,2
725,5
725,87
726,3
726,5
726,87
727,1
727,6
727,87
728,2
728,6
728,87
729,3
729,6
729,87
730,1
730,4
730,88
731,2
731,4
731,88
732,3
732,4
732,88
733,1
733,5
733,88
734,2
734,5
734,88
735,3
735,5
735,88
736,1
736,6
736,88
737,2
737,6
737,88
738,3
738,6
738,88
739,1
739,4
739,89
740,2
740,4
740,89
741,3
741,4
741,89
742,1
742,5
742,89
743,2
743,5
743,89
744,3
744,5
744,89
745,1
745,6
745,89
746,2
746,6
746,89
747,3
747,6
747,89
748,1
748,4
748,90
749,2
749,4
749,90
750,3
750,4
750,90
751,1
751,5
751,90
752,2
752,5
752,90
753,3
753,5
753,90
754,1
754,6
754,90
755,2
755,6
755,90
756,3
756,6
756,90
757,1
757,4
757,91
758,2
758,4
758,91
759,3
759,4
759,91
760,1
760,5
760,91
761,2
761,5
761,91
762,3
762,5
762,91
763,1
763,6
763,91
764,2
764,6
764,91
765,3
765,6
765,91
766,1
766,4
766,92
767,2
767,4
767,92
768,3
768,4
768,92
769,1
769,5
769,92
770,2
770,5
770,92
771,3
771,5
771,92
772,1
772,6
772,92
773,2
773,6
773,92
774,3
774,6
774,92
775,1
775,4
775,93
776,2
776,4
776,93
777,3
777,4
777,93
778,1
778,5
778,93
779,2
779,5
779,93
780,3
780,5
780,93
781,1
781,6
781,93
782,2
782,6
782,93
783,3
783,6
783,93
784,1
784,4
784,94
785,2
785,4
785,94
786,3
786,4
786,94
787,1
787,5
787,94
788,2
788,5
788,94
789,3
789,5
789,94
790,1
790,6
790,94
791,2
791,6
791,94
792,3
792,6
792,94
793,1
793,4
793,95
794,2
794,4
794,95
795,3
795,4
795,95
796,1
796,5
796,95
797,2
797,5
797,95
798,3
798,5
798,95
799,1
799,6
799,95
800,2
800,6
800,95
801,3
801,6
801,95
802,1
802,4
802,96
803,2
803,4
803,96
804,3
804,4
804,96
805,1
805,5
805,96
806,2
806,5
806,96
807,3
807,5
807,96
808,1
808,6
808,96
809,2
809,6
809,96
810,3
810,6
810,96
811,1
811,4
811,97
812,2
812,4
812,97
813,3
813,4
813,97
814,1
814,5
814,97
815,2
815,5
815,97
816,3
816,5
816,97
817,1
817,6
817,97
818,2
818,6
818,97
819,3
819,6
819,97
820,1
820,4
820,98
821,2
821,4
821,98
822,3
822,4
822,98
823,1
823,5
823,98
824,2
824,5
824,98
825,3
825,5
825,98
826,1
826,6
826,98
827,2
827,6
827,98
828,3
828,6
828,98
829,1
829,4
829,99
830,2
830,4
830,99
831,3
831,4
831,99
832,1
832,5
832,99
833,2
833,5
833,99
834,3
834,5
834,99
835,1
835,6
835,99
836,2
836,6
836,99
837,3
837,6
837,99
838,1
838,4
838,100
839,2
839,4
839,100
840,3
840,4
840,100
841,1
841,5
841,100
842,2
842,5
842,100
843,3
843,5
843,100
844,1
844,6
844,100
845,2
845,6
845,100
846,3
846,6
846,100
847,1
847,4
847,101
848,2
848,4
848,101
849,3
849,4
849,101
850,1
850,5
850,101
851,2
851,5
851,101
852,3
852,5
852,101
853,1
853,6
853,101
854,2
854,6
854,101
855,3
855,6
855,101
856,1
856,4
856,102
857,2
857,4
857,102
858,3
858,4
858,102
859,1
859,5
859,102
860,2
860,5
860,102
861,3
861,5
861,102
862,1
862,6
862,102
863,2
863,6
863,102
864,3
864,6
864,102
865,1
865,4
865,103
866,2
866,4
866,103
867,3
867,4
867,103
868,1
868,5
868,103
869,2
869,5
869,103
870,3
870,5
870,103
871,1
871,6
871,103
872,2
872,6
872,103
873,3
873,6
873,103
874,1
874,4
874,104
875,2
875,4
875,104
876,3
876,4
876,104
877,1
877,5
877,104
878,2
878,5
878,104
879,3
879,5
879,104
880,1
880,6
880,104
881,2
881,6
881,104
882,3
882,6
882,104
883,1
883,4
883,105
884,2
884,4
884,105
885,3
885,4
885,105
886,1
886,5
886,105
887,2
887,5
887,105
888,3
888,5
888,105
889,1
889,6
889,105
890,2
890,6
890,105
891,3
891,6
891,105
892,1
892,4
892,106
893,2
893,4
893,106
894,3
894,4
894,106
895,1
895,5
895,106
896,2
896,5
896,106
897,3
897,5
897,106
898,1
898,6
898,106
899,2
899,6
899,106
900,3
900,6
900,106
901,1
901,4
901,107
902,2
902,4
902,107
903,3
903,4
903,107
904,1
904,5
904,107
905,2
905,5
905,107
906,3
906,5
906,107
907,1
907,6
907,107
908,2
908,6
908,107
909,3
909,6
909,107
910,1
910,4
910,108
911,2
911,4
911,108
912,3
912,4
912,108
913,1
913,5
913,108
914,2
914,5
914,108
915,3
915,5
915,108
916,1
916,6
916,108
917,2
917,6
917,108
918,3
918,6
918,108
919,1
919,4
919,109
920,2
920,4
920,109
921,3
921,4
921,109
922,1
922,5
922,109
923,2
923,5
923,109
924,3
924,5
924,109
925,1
925,6
925,109
926,2
926,6
926,109
927,3
927,6
927,109
928,1
928,4
928,110
929,2
929,4
929,110
930,3
930,4
930,110
931,1
931,5
931,110
932,2
932,5
932,110
933,3
933,5
933,110
934,1
934,6
934,110
935,2
935,6
935,110
936,3
936,6
936,110
937,1
937,4
937,111
938,2
938,4
938,111
939,3
939,4
939,111
940,1
940,5
940,111
941,2
941,5
941,111
942,3
942,5
942,111
943,1
943,6
943,111
944,2
944,6
944,111
945,3
945,6
945,111
946,1
946,4
946,112
947,2
947,4
947,112
948,3
948,4
948,112
949,1
949,5
949,112
950,2
950,5
950,112
951,3
951,5
951,112
952,1
952,6
952,112
953,2
953,6
953,112
954,3
954,6
954,112
955,1
955,4
955,113
956,2
956,4
956,113
957,3
957,4
957,113
958,1
958,5
958,113
959,2
959,5
959,113
960,3
960,5
960,113
961,1
961,6
961,113
962,2
962,6
962,113
963,3
963,6
963,113
964,114
965,115
966,116
967,117
968,1
968,114
969,2
969,114
970,3
970,114
971,1
971,115
972,2
972,115
973,3
973,115
974,1
974,116
975,2
975,116
976,3
976,116
977,1
977,117
978,2
978,117
979,3
979,117
