0,1
Was ist der Anteil an Wohnungen: Anteil Eigentumsobjekte   pro Gemeinde ?,"{'entities': [(63, 72, 'GRAN')]}"
Was ist der Anteil an Anteil 3 Zi.-Wohnungen   in Illnau-Effretikon ?,{'entities': []}
"Wie viel Total geschaffene Stellen, Beschäftigte  hat  Niederhasli und Stadel  ?",{'entities': []}
"Welches ist das Total geschaffene Stellen, Beschäftigte   Henggart, Embrach und Oberengstringen ?",{'entities': []}
Was ist der Anteil an Anteil GK B   in Seegräben ?,{'entities': []}
Was ist der Anteil an Anteil GK D   im Kanton Zürich ?,"{'entities': [(38, 46, 'GRAN')]}"
Wie viel Nettoaufwand Volkswirtschaft  hat  in Rheinau  ?,{'entities': []}
Welches ist das Nettoaufwand Volkswirtschaft   in Bauma (bis 2014) ?,{'entities': []}
Wie viel Arbeitsstätten im Sekundärsektor  hat  in Zell  ?,{'entities': []}
Welches ist das Arbeitsstätten im Sekundärsektor   in Bezirk Affoltern ?,"{'entities': [(53, 61, 'GRAN')]}"
Wie viel Steuerb. Einkommen natürl. Pers. Median  hat  pro Bezirk  ?,"{'entities': [(58, 66, 'GRAN')]}"
Welches ist das Steuerb. Einkommen natürl. Pers. Median   für den gesamten Kanton ?,"{'entities': [(74, 82, 'GRAN')]}"
"Was ist der Anteil an Steuerfuss (ohne Kirchen)   Embrach, Adlikon und Oberglatt ?",{'entities': []}
Wie viel PW-Neuzulassungen pro 1000 Einw.  hat  in Wädenswil (bis 2018)  ?,{'entities': []}
Welches ist das PW-Neuzulassungen pro 1000 Einw.   für alle Bezirke ?,"{'entities': [(59, 68, 'GRAN')]}"
Wie viel Steuerkraft ber. (arith. Mittel 3 Jahre)  hat  auf Bezirksebene  ?,"{'entities': [(59, 73, 'GRAN')]}"
Welches ist das Steuerkraft ber. (arith. Mittel 3 Jahre)   in Horgen ?,{'entities': []}
Was ist der Anteil an Anteil Pol./Schulgem. an allg. Gemeindesteuern   in Regensdorf ?,{'entities': []}
Was ist der Anteil an Geb.Vol. Wohnen: Zunahme   in Oetwil a.S. ?,{'entities': []}
Wie viel Schweine  hat  für den gesamten Kanton  ?,"{'entities': [(40, 48, 'GRAN')]}"
Welches ist das Schweine   in Schwerzenbach ?,{'entities': []}
Wie viel Bevölkerungsdichte  hat  für alle Bezirke  ?,"{'entities': [(42, 51, 'GRAN')]}"
"Welches ist das Bevölkerungsdichte   Bezirk Hinwil, Boppelsen und Region Pfannenstiel ?","{'entities': [(36, 44, 'GRAN')]}"
Was ist der Anteil an Wegzüge   Bezirk Affoltern ?,"{'entities': [(31, 39, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Landwirtschaft: Anteil   Wil und Bezirk Andelfingen ?,"{'entities': [(63, 71, 'GRAN')]}"
Was ist der Anteil an Bevölkerung: Anteil 15-19-Jährige   in Bassersdorf ?,{'entities': []}
Was ist der Anteil an Geb.Vol. Landwirtschaft: Zunahme   auf Gemeindeebene ?,"{'entities': [(60, 75, 'GRAN')]}"
Wie viel Erwerb des Schweizer Bürgerrechts  hat  in Kloten  ?,{'entities': []}
Welches ist das Erwerb des Schweizer Bürgerrechts   im Kanton Zürich ?,"{'entities': [(54, 62, 'GRAN')]}"
Was ist der Anteil an NRW Wähleranteil EVP   in Hettlingen ?,{'entities': []}
Wie viel Verkäufe von unbebautem Land  hat  Niederweningen und Bachs  ?,{'entities': []}
Welches ist das Verkäufe von unbebautem Land   Bezirk Meilen ?,"{'entities': [(46, 54, 'GRAN')]}"
"Wie viel Motorräder pro 1000 Einwohner  hat  Berg a.I., Meilen und Oetwil a.S.  ?",{'entities': []}
Welches ist das Motorräder pro 1000 Einwohner   auf Bezirksebene ?,"{'entities': [(51, 65, 'GRAN')]}"
Wie viel Beschäftigte im Tertiärsektor  hat  Bezirk Andelfingen  ?,"{'entities': [(44, 52, 'GRAN')]}"
Welches ist das Beschäftigte im Tertiärsektor   für den gesamten Kanton ?,"{'entities': [(64, 72, 'GRAN')]}"
Wie viel Schül. Kindergarten  hat  in Flurlingen  ?,{'entities': []}
"Welches ist das Schül. Kindergarten   Illnau-Effretikon (bis 2015), Bachenbülach und Rüti ?",{'entities': []}
Wie viel Bauinv. Industr./Lager 5 Jahre  hat  Adliswil und Pfungen  ?,{'entities': []}
Welches ist das Bauinv. Industr./Lager 5 Jahre   Seegräben ?,{'entities': []}
"Wie viel Bauinv. Spital, Kultur usw. 5 J.  hat  Bezirk Dielsdorf, Bäretswil und Rickenbach  ?","{'entities': [(47, 55, 'GRAN')]}"
"Welches ist das Bauinv. Spital, Kultur usw. 5 J.   Benken ?",{'entities': []}
"Wie viel Bauinvestitionen   hat  Bezirk Uster, Unterengstringen und Bezirk Pfäffikon  ?","{'entities': [(32, 40, 'GRAN')]}"
Welches ist das Bauinvestitionen    in Bonstetten ?,{'entities': []}
Wie viel Bauzonen überbaut pro Kopf  hat  Schöfflisdorf  ?,{'entities': []}
Welches ist das Bauzonen überbaut pro Kopf   Lufingen ?,{'entities': []}
Wie viel Schül. Sekundarstufe I  hat  in Elsau  ?,{'entities': []}
Welches ist das Schül. Sekundarstufe I   auf Bezirksebene ?,"{'entities': [(44, 58, 'GRAN')]}"
Wie viel Schül. Berufsschule  hat  in Dägerlen  ?,{'entities': []}
Welches ist das Schül. Berufsschule   in Oberrieden ?,{'entities': []}
Wie viel Kleine Betriebe (10-49 VZÄ)  hat  in Kyburg (bis 2015)  ?,{'entities': []}
Welches ist das Kleine Betriebe (10-49 VZÄ)   in Sternenberg (bis 2014) ?,{'entities': []}
"Was ist der Anteil an NRW Wähleranteil CVP   Region Limmattal, Region Weinland und Buch a.I. ?",{'entities': []}
"Wie viel Verkäufe Stockwerkeigentum  hat  Humlikon, Maur und Dinhard  ?",{'entities': []}
Welches ist das Verkäufe Stockwerkeigentum   in Otelfingen ?,{'entities': []}
Was ist der Anteil an NRW Wähleranteil EDU   im Kanton Zürich ?,"{'entities': [(47, 55, 'GRAN')]}"
Was ist der Anteil an NRW Wähleranteil AL   in Oetwil a.d.L. ?,{'entities': []}
"Wie viel Wohnungsbestand  hat  Wil, Volken und Kleinandelfingen  ?",{'entities': []}
Welches ist das Wohnungsbestand   in Bubikon ?,{'entities': []}
Wie viel Apotheken  hat  pro Bezirk  ?,"{'entities': [(28, 36, 'GRAN')]}"
"Welches ist das Apotheken   Hedingen, Bezirk Zürich und Wettswil a.A. ?","{'entities': [(37, 45, 'GRAN')]}"
Was ist der Anteil an Sozialhilfequote   für alle Gemeinden ?,"{'entities': [(49, 60, 'GRAN')]}"
Wie viel Scheidungen  hat  Wildberg  ?,{'entities': []}
Welches ist das Scheidungen   Wila ?,{'entities': []}
Wie viel 1-Personenhaushalte  hat  Ottenbach  ?,{'entities': []}
Welches ist das 1-Personenhaushalte   im Kanton Zürich ?,"{'entities': [(40, 48, 'GRAN')]}"
Was ist der Anteil an Anteil ohne GK   in Wallisellen ?,{'entities': []}
Wie viel Nettovermögen  hat  auf Gemeindeebene  ?,"{'entities': [(32, 47, 'GRAN')]}"
Welches ist das Nettovermögen   in Hedingen ?,{'entities': []}
Wie viel Steuerertrag Total  hat  Unterengstringen und Niederweningen  ?,{'entities': []}
"Welches ist das Steuerertrag Total   Bezirk Pfäffikon, Bachs und Hofstetten (bis 2017) ?","{'entities': [(36, 44, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Nebengebäude: Anteil   Pfäffikon ?,{'entities': []}
Was ist der Anteil an Anteil Grundsteuern am Steuerertrag   in Dägerlen ?,{'entities': []}
Wie viel Total ordentlich Besteuerte  hat  Bezirk Uster und Region Limmattal  ?,"{'entities': [(42, 50, 'GRAN')]}"
Welches ist das Total ordentlich Besteuerte   in Pfäffikon ?,{'entities': []}
"Wie viel Nur an der Quelle besteuerte Quellensteuerpfl.  hat  Region Limmattal, Oberembrach und Männedorf  ?",{'entities': []}
Welches ist das Nur an der Quelle besteuerte Quellensteuerpfl.   in Region Oberland ?,{'entities': []}
Wie viel Christkatholische Kirchensteuerpflichtige  hat  in Truttikon  ?,{'entities': []}
Welches ist das Christkatholische Kirchensteuerpflichtige   für alle Gemeinden ?,"{'entities': [(68, 79, 'GRAN')]}"
Was ist der Anteil an Wahlbeteiligung Nationalrat   Dachsen und Aeugst a.A. ?,{'entities': []}
Wie viel Bauzonen  hat  Rorbas und Grüningen  ?,{'entities': []}
Welches ist das Bauzonen   Humlikon ?,{'entities': []}
Was ist der Anteil an Bestand Dieselmotor   auf Bezirksebene ?,"{'entities': [(47, 61, 'GRAN')]}"
Wie viel Nettoinvestitionen  hat  pro Gemeinde  ?,"{'entities': [(38, 47, 'GRAN')]}"
Welches ist das Nettoinvestitionen   Stäfa und Hinwil ?,{'entities': []}
Wie viel Steuerkraft  hat  in Opfikon  ?,{'entities': []}
Welches ist das Steuerkraft   in Hochfelden ?,{'entities': []}
Wie viel Reingewinn juristische Personen  hat  für den gesamten Kanton  ?,"{'entities': [(63, 71, 'GRAN')]}"
Welches ist das Reingewinn juristische Personen   in Birmensdorf ?,{'entities': []}
Wie viel Bevölkerungszunahme 1 Jahr  hat  in Zumikon  ?,{'entities': []}
Welches ist das Bevölkerungszunahme 1 Jahr   in Henggart ?,{'entities': []}
Wie viel Gemeindebeitrag an ZVV  hat  in Zumikon  ?,{'entities': []}
Welches ist das Gemeindebeitrag an ZVV   Hüttikon und Wangen-Brüttisellen ?,{'entities': []}
Wie viel Verkäufe MFH  hat  pro Bezirk  ?,"{'entities': [(31, 39, 'GRAN')]}"
Welches ist das Verkäufe MFH   in Egg ?,{'entities': []}
Wie viel Arbeitslose  hat  auf Bezirksebene  ?,"{'entities': [(30, 44, 'GRAN')]}"
Welches ist das Arbeitslose   pro Gemeinde ?,"{'entities': [(34, 43, 'GRAN')]}"
Was ist der Anteil an Ausländeranteil   für alle Bezirke ?,"{'entities': [(48, 57, 'GRAN')]}"
Was ist der Anteil an Bevölkerung: Frauenanteil   im Kanton Zürich ?,"{'entities': [(52, 60, 'GRAN')]}"
"Wie viel ÖV-Wege Quell-, Ziel- und Binnenverkehr  hat  auf Bezirksebene  ?","{'entities': [(58, 72, 'GRAN')]}"
"Welches ist das ÖV-Wege Quell-, Ziel- und Binnenverkehr   für alle Gemeinden ?","{'entities': [(66, 77, 'GRAN')]}"
Was ist der Anteil an KRW Wähleranteil EVP   auf Bezirksebene ?,"{'entities': [(48, 62, 'GRAN')]}"
Wie viel Aerzte  hat  Unterengstringen und Mönchaltorf  ?,{'entities': []}
Welches ist das Aerzte   Volken ?,{'entities': []}
Wie viel Steuerkraft pro Kopf  hat  in Wangen-Brüttisellen  ?,{'entities': []}
Welches ist das Steuerkraft pro Kopf   in Niederweningen ?,{'entities': []}
"Wie viel Ø Reingewinn steuerpfl. jur. Pers.  hat  Bezirk Winterthur, Boppelsen und Humlikon  ?","{'entities': [(49, 57, 'GRAN')]}"
Welches ist das Ø Reingewinn steuerpfl. jur. Pers.   in Dübendorf ?,{'entities': []}
"Wie viel Beschäftigte im Sekundärsektor  hat  Bezirk Dietikon, Adlikon und Adliswil  ?","{'entities': [(45, 53, 'GRAN')]}"
Welches ist das Beschäftigte im Sekundärsektor   auf Gemeindeebene ?,"{'entities': [(52, 67, 'GRAN')]}"
Wie viel Nettoaufwand Gesundheit  hat  auf Bezirksebene  ?,"{'entities': [(42, 56, 'GRAN')]}"
Welches ist das Nettoaufwand Gesundheit   für alle Bezirke ?,"{'entities': [(50, 59, 'GRAN')]}"
Was ist der Anteil an Beschäftigte im Gastgewerbe: Anteil   im Kanton Zürich ?,"{'entities': [(62, 70, 'GRAN')]}"
Wie viel Schül. Mittelschule  hat  auf Bezirksebene  ?,"{'entities': [(38, 52, 'GRAN')]}"
Welches ist das Schül. Mittelschule   Bezirk Dielsdorf und Bezirk Hinwil ?,"{'entities': [(37, 45, 'GRAN')]}"
Wie viel Mittlere Betriebe (50-249 VZÄ)  hat  für den gesamten Kanton  ?,"{'entities': [(62, 70, 'GRAN')]}"
Welches ist das Mittlere Betriebe (50-249 VZÄ)   in Regensberg ?,{'entities': []}
Was ist der Anteil an Anteil Verkehrsfläche   Niederglatt und Region Limmattal ?,{'entities': []}
Was ist der Anteil an Anteil Siedlungsfläche   Uitikon und Benken ?,{'entities': []}
Was ist der Anteil an KRW Wähleranteil FDP   für den gesamten Kanton ?,"{'entities': [(61, 69, 'GRAN')]}"
Wie viel Hotelbetten pro 1000 Einwohner  hat  Wangen-Brüttisellen  ?,{'entities': []}
Welches ist das Hotelbetten pro 1000 Einwohner   in Wangen-Brüttisellen ?,{'entities': []}
"Was ist der Anteil an Bevölkerung: Männeranteil   Fehraltorf, Dättlikon und Wädenswil (bis 2018) ?",{'entities': []}
Was ist der Anteil an KRW Wähleranteil SP   in Oberweningen ?,{'entities': []}
Wie viel Arbeitsstätten im Tertiärsektor  hat  pro Bezirk  ?,"{'entities': [(50, 58, 'GRAN')]}"
Welches ist das Arbeitsstätten im Tertiärsektor   pro Gemeinde ?,"{'entities': [(54, 63, 'GRAN')]}"
Wie viel Steuerkraft (arith. Mittel 3 Jahre)  hat  in Bezirk Affoltern  ?,"{'entities': [(53, 61, 'GRAN')]}"
"Welches ist das Steuerkraft (arith. Mittel 3 Jahre)   Bezirk Winterthur, Oberembrach und Rorbas ?","{'entities': [(53, 61, 'GRAN')]}"
Wie viel Steuerertrag von natürlichen Personen  hat  in Russikon  ?,{'entities': []}
Welches ist das Steuerertrag von natürlichen Personen   in Urdorf ?,{'entities': []}
"Wie viel Bevölkerung: übrige/andere/ohne Konfession  hat  Fehraltorf, Rümlang und Turbenthal  ?",{'entities': []}
Welches ist das Bevölkerung: übrige/andere/ohne Konfession   für den gesamten Kanton ?,"{'entities': [(77, 85, 'GRAN')]}"
"Was ist der Anteil an Bevölkerungszunahme 5 Jahre   Buch a.I., Oberrieden und Wil ?",{'entities': []}
Wie viel Aerzte  hat  auf Gemeindeebene  ?,"{'entities': [(25, 40, 'GRAN')]}"
Welches ist das Aerzte   für alle Bezirke ?,"{'entities': [(33, 42, 'GRAN')]}"
Wie viel Neu gegründete Unternehmen Total  hat  auf Bezirksebene  ?,"{'entities': [(51, 65, 'GRAN')]}"
Welches ist das Neu gegründete Unternehmen Total   in Dättlikon ?,{'entities': []}
Wie viel Nettoaufwand Verkehr und Nachrichtenübermittlung  hat  in Wasterkingen  ?,{'entities': []}
Welches ist das Nettoaufwand Verkehr und Nachrichtenübermittlung   in Hirzel (bis 2017) ?,{'entities': []}
"Wie viel Personalsteuerpflichtige  hat  Niederglatt, Zollikon und Ottenbach  ?",{'entities': []}
Welches ist das Personalsteuerpflichtige   pro Gemeinde ?,"{'entities': [(47, 56, 'GRAN')]}"
Wie viel Total Quellensteuerpflichtige  hat  für alle Gemeinden  ?,"{'entities': [(53, 64, 'GRAN')]}"
Welches ist das Total Quellensteuerpflichtige   Altikon ?,{'entities': []}
Wie viel Hotelbetten pro Hotel  hat  für den gesamten Kanton  ?,"{'entities': [(53, 61, 'GRAN')]}"
Welches ist das Hotelbetten pro Hotel   pro Bezirk ?,"{'entities': [(43, 51, 'GRAN')]}"
Was ist der Anteil an Neuzulassungen  Elektromotor   in Uster ?,{'entities': []}
Wie viel Motorrad-Neuzulassungen  hat  in Oberembrach  ?,{'entities': []}
Welches ist das Motorrad-Neuzulassungen   in Urdorf ?,{'entities': []}
Was ist der Anteil an Investitionsanteil   in Neerach ?,{'entities': []}
Wie viel Eigenkapital steuerpfl. jur. Pers.  hat  auf Gemeindeebene  ?,"{'entities': [(53, 68, 'GRAN')]}"
Welches ist das Eigenkapital steuerpfl. jur. Pers.   in Pfungen ?,{'entities': []}
"Wie viel Steuerkraft berichtigt  hat  Altikon, Birmensdorf und Wetzikon  ?",{'entities': []}
Welches ist das Steuerkraft berichtigt   in Adliswil ?,{'entities': []}
Was ist der Anteil an Zinsbelastungsanteil   Hüttikon und Egg ?,{'entities': []}
"Wie viel Baulandpreis Modell (Median)  hat  Trüllikon, Marthalen und Eglisau  ?",{'entities': []}
Welches ist das Baulandpreis Modell (Median)   in Stadel ?,{'entities': []}
Wie viel 4-Personenhaushalte  hat  Wildberg und Region Furttal  ?,{'entities': []}
Welches ist das 4-Personenhaushalte   für den gesamten Kanton ?,"{'entities': [(54, 62, 'GRAN')]}"
Was ist der Anteil an Bevölkerungszunahme 1 Jahr   auf Bezirksebene ?,"{'entities': [(54, 68, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Industrie/Lager: Zunahme   in Bauma ?,{'entities': []}
Was ist der Anteil an Geb.Vol. Infrastruktur: Zunahme   für den gesamten Kanton ?,"{'entities': [(72, 80, 'GRAN')]}"
Wie viel Sterberate  hat  pro Gemeinde  ?,"{'entities': [(30, 39, 'GRAN')]}"
Welches ist das Sterberate   Region Glattal ?,{'entities': []}
Wie viel Altpapiermengen  hat  auf Gemeindeebene  ?,"{'entities': [(34, 49, 'GRAN')]}"
Welches ist das Altpapiermengen   in Wettswil a.A. ?,{'entities': []}
Wie viel Nettoaufwand allgemeine Verwaltung  hat  Bezirk Meilen und Niederhasli  ?,"{'entities': [(49, 57, 'GRAN')]}"
Welches ist das Nettoaufwand allgemeine Verwaltung   auf Gemeindeebene ?,"{'entities': [(56, 71, 'GRAN')]}"
"Wie viel Personenwagen  hat  Bezirk Meilen, Weisslingen und Rüschlikon  ?","{'entities': [(28, 36, 'GRAN')]}"
Welches ist das Personenwagen   Hüttikon ?,{'entities': []}
"Wie viel Grosse Betriebe (250+ VZÄ)  hat  Bezirk Zürich, Regensdorf und Regensberg  ?","{'entities': [(41, 49, 'GRAN')]}"
Welches ist das Grosse Betriebe (250+ VZÄ)   Oberstammheim (bis 2018) ?,{'entities': []}
"Wie viel VZÄ im Sekundärsektor  hat  Volketswil, Schönenberg (bis 2018) und Bäretswil  ?",{'entities': []}
Welches ist das VZÄ im Sekundärsektor   pro Bezirk ?,"{'entities': [(43, 51, 'GRAN')]}"
Was ist der Anteil an Bauzonen überbaut    in Hedingen ?,{'entities': []}
Wie viel Bauinv. Ver-/Entsorg. 5 Jahre  hat  für alle Gemeinden  ?,"{'entities': [(53, 64, 'GRAN')]}"
"Welches ist das Bauinv. Ver-/Entsorg. 5 Jahre   Regensberg, Volken und Oberengstringen ?",{'entities': []}
Wie viel Bauinv. Wohnen   hat  für alle Gemeinden  ?,"{'entities': [(39, 50, 'GRAN')]}"
Welches ist das Bauinv. Wohnen    in Lindau ?,{'entities': []}
Wie viel Neuerstellte EFH  hat  Pfungen  ?,{'entities': []}
Welches ist das Neuerstellte EFH   in Hedingen ?,{'entities': []}
Wie viel Restaurants pro 1000 Einwohner  hat  Region Winterthur u. Umg.  ?,{'entities': []}
"Welches ist das Restaurants pro 1000 Einwohner   Regensdorf, Buchs und Wallisellen ?",{'entities': []}
"Wie viel Mikrobetriebe (0-9 VZÄ)  hat  Illnau-Effretikon (bis 2015), Aesch ZH und Nürensdorf  ?",{'entities': []}
Welches ist das Mikrobetriebe (0-9 VZÄ)   auf Gemeindeebene ?,"{'entities': [(45, 60, 'GRAN')]}"
Wie viel Steuerpflichtige juristische Personen  hat  auf Bezirksebene  ?,"{'entities': [(56, 70, 'GRAN')]}"
Welches ist das Steuerpflichtige juristische Personen   in Bezirk Pfäffikon ?,"{'entities': [(58, 66, 'GRAN')]}"
Wie viel Wasserverbrauch pro Tag und Kopf  hat  Dägerlen und Turbenthal  ?,{'entities': []}
Welches ist das Wasserverbrauch pro Tag und Kopf   Neerach und Stallikon ?,{'entities': []}
Was ist der Anteil an Anteil Landwirtschaftsfläche   in Schöfflisdorf ?,{'entities': []}
"Was ist der Anteil an NRW Wähleranteil GLP   Wiesendangen, Adlikon und Bezirk Pfäffikon ?","{'entities': [(70, 78, 'GRAN')]}"
Wie viel Ø steuerbares Einkommen natürliche Pers.  hat  Weisslingen und Region Knonaueramt  ?,{'entities': []}
Welches ist das Ø steuerbares Einkommen natürliche Pers.   Bezirk Horgen und Männedorf ?,"{'entities': [(58, 66, 'GRAN')]}"
Was ist der Anteil an KRW Wähleranteil GLP   Dübendorf und Hüttikon ?,{'entities': []}
Was ist der Anteil an NRW Wähleranteil SD   in Weiningen ?,{'entities': []}
Was ist der Anteil an Bevölkerung: Anteil 80 u.m.-Jährige   in Herrliberg ?,{'entities': []}
Wie viel Heiraten  hat  Maur  ?,{'entities': []}
Welches ist das Heiraten   für den gesamten Kanton ?,"{'entities': [(43, 51, 'GRAN')]}"
Was ist der Anteil an Bezügerquote der bedarfsabh. Sozialleistungen   Zürich - ganzer Kanton und Bülach ?,"{'entities': [(85, 93, 'GRAN')]}"
Was ist der Anteil an Steuerfuss juristische Personen   pro Gemeinde ?,"{'entities': [(60, 69, 'GRAN')]}"
Was ist der Anteil an Anteil Teilzeitbeschäftigte Landwirtschaft   auf Gemeindeebene ?,"{'entities': [(70, 85, 'GRAN')]}"
Wie viel Nettoaufwand öffentliche Ordnung und Sicherheit  hat  in Schleinikon  ?,{'entities': []}
Welches ist das Nettoaufwand öffentliche Ordnung und Sicherheit   in Horgen ?,{'entities': []}
Wie viel EFH-Bestand  hat  im Kanton Zürich  ?,"{'entities': [(29, 37, 'GRAN')]}"
Welches ist das EFH-Bestand   in Wil ?,{'entities': []}
Was ist der Anteil an Anteil 5 Zi.-Wohnungen   Region Zürich ?,{'entities': []}
Was ist der Anteil an Anteil GK E   für alle Gemeinden ?,"{'entities': [(44, 55, 'GRAN')]}"
Wie viel Zuzüge  hat  pro Bezirk  ?,"{'entities': [(25, 33, 'GRAN')]}"
Welches ist das Zuzüge   für alle Gemeinden ?,"{'entities': [(33, 44, 'GRAN')]}"
Wie viel Bruttoinvestitionen  hat  im Kanton Zürich  ?,"{'entities': [(37, 45, 'GRAN')]}"
Welches ist das Bruttoinvestitionen   im Kanton Zürich ?,"{'entities': [(40, 48, 'GRAN')]}"
"Was ist der Anteil an Geb.Vol. Wohnen: Anteil   Bezirk Pfäffikon, Bezirk Dielsdorf und Region Zürich ?","{'entities': [(47, 55, 'GRAN')]}"
Was ist der Anteil an ZL-Bezügerquote der Personen ab 65 Jahren   auf Bezirksebene ?,"{'entities': [(69, 83, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Infrastruktur: Anteil   in Affoltern a.A. ?,{'entities': []}
Was ist der Anteil an Bestand Elektromotor   pro Gemeinde ?,"{'entities': [(49, 58, 'GRAN')]}"
Was ist der Anteil an Zuzüge   in Rümlang ?,{'entities': []}
Was ist der Anteil an Selbstfinanzierungsgrad   auf Bezirksebene ?,"{'entities': [(51, 65, 'GRAN')]}"
Was ist der Anteil an Anteil Kirchgemeinden an allg. Gemeindesteuern   Henggart und Wangen-Brüttisellen ?,{'entities': []}
Wie viel Hauptberufliche Landwirtschaftsbetriebe  hat  in Wil  ?,{'entities': []}
Welches ist das Hauptberufliche Landwirtschaftsbetriebe   in Hüntwangen ?,{'entities': []}
Was ist der Anteil an Gebäudevolumen: Zunahme   pro Bezirk ?,"{'entities': [(51, 59, 'GRAN')]}"
Was ist der Anteil an MIV-Anteil (Modal Split)   auf Gemeindeebene ?,"{'entities': [(52, 67, 'GRAN')]}"
Was ist der Anteil an Kapitaldienstanteil   in Dübendorf ?,{'entities': []}
Wie viel Bauzonen nicht überbaut  hat  auf Bezirksebene  ?,"{'entities': [(42, 56, 'GRAN')]}"
Welches ist das Bauzonen nicht überbaut   Buch a.I. ?,{'entities': []}
Wie viel Schül. Sekundarstufe II  hat  in Steinmaur  ?,{'entities': []}
Welches ist das Schül. Sekundarstufe II   für den gesamten Kanton ?,"{'entities': [(58, 66, 'GRAN')]}"
Wie viel Neuerstellte MFH-Wohnungen  hat  in Niederglatt  ?,{'entities': []}
Welches ist das Neuerstellte MFH-Wohnungen   Maschwanden ?,{'entities': []}
Wie viel Fläche  hat  auf Bezirksebene  ?,"{'entities': [(25, 39, 'GRAN')]}"
Welches ist das Fläche   Niederglatt ?,{'entities': []}
"Was ist der Anteil an Altersquotient   Wiesendangen, Rüti und Nürensdorf ?",{'entities': []}
Wie viel Sterberate (5-J.-mittel)  hat  Meilen  ?,{'entities': []}
Welches ist das Sterberate (5-J.-mittel)   in Rifferswil ?,{'entities': []}
Was ist der Anteil an Anteil 1 Zi.-Wohnungen   Maur ?,{'entities': []}
Was ist der Anteil an Anteil 4 Zi.-Wohnungen   auf Gemeindeebene ?,"{'entities': [(50, 65, 'GRAN')]}"
Wie viel Heiraten  hat  für alle Gemeinden  ?,"{'entities': [(32, 43, 'GRAN')]}"
Welches ist das Heiraten   in Freienstein-Teufen ?,{'entities': []}
Wie viel 3-Personenhaushalte  hat  Freienstein-Teufen  ?,{'entities': []}
Welches ist das 3-Personenhaushalte   in Küsnacht ?,{'entities': []}
Wie viel Leerwohnungen Total  hat  auf Gemeindeebene  ?,"{'entities': [(38, 53, 'GRAN')]}"
Welches ist das Leerwohnungen Total   Schwerzenbach ?,{'entities': []}
Wie viel Zahnärzte  hat  in Schlatt  ?,{'entities': []}
Welches ist das Zahnärzte   in Bezirk Uster ?,"{'entities': [(30, 38, 'GRAN')]}"
"Was ist der Anteil an Bevölkerung: Anteil 65-79-Jährige   Stallikon, Maschwanden und Henggart ?",{'entities': []}
Wie viel Restaurants  hat  im Kanton Zürich  ?,"{'entities': [(29, 37, 'GRAN')]}"
Welches ist das Restaurants   Lufingen und Glattfelden ?,{'entities': []}
Wie viel Ausserhalb des Kt. wohnhaft Besteuerte  hat  pro Bezirk  ?,"{'entities': [(57, 65, 'GRAN')]}"
Welches ist das Ausserhalb des Kt. wohnhaft Besteuerte   auf Gemeindeebene ?,"{'entities': [(60, 75, 'GRAN')]}"
Wie viel Ordentlich und an der Quelle Besteuerte  hat  Elgg  ?,{'entities': []}
Welches ist das Ordentlich und an der Quelle Besteuerte   Bauma und Altikon ?,{'entities': []}
Wie viel Total Kirchensteuerpflichtige  hat  in Region Zürich  ?,{'entities': []}
Welches ist das Total Kirchensteuerpflichtige   Erlenbach ?,{'entities': []}
Wie viel PW-Neuzulassungen  hat  in Dachsen  ?,{'entities': []}
Welches ist das PW-Neuzulassungen   in Rifferswil ?,{'entities': []}
Was ist der Anteil an Bestand Hybridantrieb   auf Bezirksebene ?,"{'entities': [(49, 63, 'GRAN')]}"
